Date,Pitcher,Pick,Line,Actual_K,Result,Matchup,Actual_IP
2026-06-15,Mitch Spence,U 3.5,,1.0,WIN,,4.0
2026-06-15,Michael Lorenzen,U 4.5,,5.0,LOSS,,5.0
2026-07-03,Jake Bennett,O 4.5,4.5,6.0,WIN,BOS @ LAA,
2026-06-15,Shota Imanaga,U 6.5,,3.0,WIN,,5.2
2026-06-15,Ryne Nelson,U 4.5,,5.0,LOSS,,7.0
2026-06-15,Nick Martinez,O 3.5,,6.0,WIN,,5.1
2026-06-15,Eric Lauer,U 3.5,,4.0,LOSS,,6.0
2026-06-15,Andrew Alvarez,U 4.5,,5.0,LOSS,,4.0
2026-06-15,Zack Wheeler,O 6.5,,9.0,WIN,,6.0
2026-06-16,Slade Cecconi,U 4.5,,4.0,WIN,,5.2
2026-06-16,Edward Cabrera,U 5.5,,3.0,WIN,,4.1
2026-06-16,Reid Detmers,O 5.5,,6.0,WIN,,7.0
2026-06-16,Foster Griffin,U 5.5,,6.0,LOSS,,6.0
2026-06-18,Jacob deGrom,O 6.5,,9.0,WIN,,6.0
2026-06-18,Jacob Misiorowski,O 8.5,,7.0,LOSS,,6.0
2026-06-18,Cam Schlittler,O 6.5,,13.0,WIN,,6.0
2026-06-18,Tatsuya Imai,O 4.5,,11.0,WIN,,6.0
2026-06-16,Jack Perkins,U 4.5,,6.0,LOSS,,5.0
2026-06-16,Ryan Feltner,U 3.5,,7.0,LOSS,,4.2
2026-06-15,Chase Burns,O 7.5,,7.0,LOSS,,5.0
2026-06-15,MacKenzie Gore,O 5.5,,10.0,WIN,,7.0
2026-06-15,Dustin May,O 4.5,,9.0,WIN,,9.0
2026-06-15,Ryan Gusto,U 3.5,,1.0,WIN,,3.1
2026-06-15,J.T. Ginn,U 4.5,,3.0,WIN,,6.0
2026-06-27,Jake Bennett,O 4.5,,3.0,LOSS,NYY @ BOS,
2026-07-03,Luis Castillo,U 4.5,4.5,4.0,WIN,TOR @ SEA,
2026-07-03,Shohei Ohtani,O 6.5,6.5,8.0,WIN,SD @ LAD,
2026-06-15,Jared Jones,NL,,4.0,NL,,4.0
2026-06-15,Dustin May,O 4.5,9.0,9.0,WIN,,
2026-06-16,Payton Tolle,O 4.5,6.0,5.0,WIN,,
2026-06-16,Michael Wacha,O 4.5,3.0,6.0,LOSS,,
2026-06-15,MacKenzie Gore,O 5.5,10.0,7.0,WIN,,
2026-06-16,Foster Griffin,U 5.5,6.0,6.0,LOSS,,
2026-06-16,Reid Detmers,O 5.5,6.0,7.0,WIN,,
2026-06-16,Jesús Luzardo,O 6.5,9.0,7.0,WIN,,
2026-06-16,Merrill Kelly,U 4.5,4.0,5.1,WIN,,
2026-06-16,Brady Singer,U 4.5,5.0,5.0,LOSS,,
2026-06-16,Brandon Young,U 4.5,2.0,6.0,WIN,,
2026-06-16,Logan Gilbert,O 6.5,10.0,7.0,WIN,,
2026-06-16,Tyler Phillips,U 3.5,4.0,4.0,LOSS,,
2026-06-16,Justin Wrobleski,U 4.5,5.0,6.0,LOSS,,
2026-06-16,Drew Rasmussen,O 5.5,7.0,7.0,WIN,,
2026-06-16,Zebby Matthews,O 4.5,4.0,7.0,LOSS,,
2026-06-16,Kumar Rocker,U 4.5,4.0,3.1,WIN,,
2026-06-16,Davis Martin,O 5.5,4.0,3.1,LOSS,,
2026-06-16,Gerrit Cole,U 5.5,6.0,6.0,LOSS,,
2026-06-15,Mitch Spence,U 3.5,1.0,4.0,WIN,,
2026-06-15,Michael Lorenzen,U 4.5,5.0,5.0,LOSS,,
2026-06-26,Javier Assad,U 3.5,,5.0,LOSS,,
2026-06-26,Sean Manaea,O 3.5,,4.0,WIN,,
2026-06-26,Rhett Lowder,O 3.5,,5.0,WIN,,
2026-06-26,Nolan McLean,O 5.5,,8.0,WIN,,
2026-06-26,Gage Jump,O 4.5,,7.0,WIN,,
2026-06-16,Ryan Feltner,U 3.5,7.0,4.2,LOSS,,
2026-06-16,Jack Perkins,U 4.5,6.0,5.0,LOSS,,
2026-06-18,Tatsuya Imai,O 4.5,11.0,6.0,WIN,,
2026-06-18,Cam Schlittler,O 6.5,13.0,6.0,WIN,,
2026-06-26,Noah Cameron,O 4.5,5.0,5.0,WIN,,
2026-06-26,Nolan McLean,O 5.5,8.0,,WIN,,
2026-06-26,Javier Assad,U 3.5,5.0,,LOSS,,
2026-06-26,Sean Manaea,O 3.5,4.0,,WIN,,
2026-06-26,Gage Jump,O 4.5,7.0,,WIN,,
2026-06-26,Tyler Mahle,O 4.5,4.0,5.2,LOSS,,
2026-06-15,Chase Burns,O 7.5,7.0,5.0,LOSS,,
2026-06-26,Mike Burrows,O 3.5,3.0,6.0,LOSS,,
2026-06-26,Trey Yesavage,U 5.5,5.0,5.2,WIN,,
2026-06-26,Ranger Suarez,U 4.5,9.0,6.0,LOSS,,
2026-06-26,Kyle Freeland,O 3.5,4.0,6.0,WIN,,
2026-06-26,Shane Drohan,U 4.5,5.0,4.1,LOSS,,
2026-06-26,Ryan Weathers,O 5.5,6.0,6.0,WIN,,
2026-06-26,Tarik Skubal,O 6.5,9.0,6.0,WIN,,
2026-06-26,Rhett Lowder,O 3.5,5.0,,WIN,,
2026-06-26,Jacob deGrom,O 6.5,8.0,6.0,WIN,,
2026-06-26,Braxton Ashcraft,O 5.5,10.0,6.0,WIN,,
2026-06-26,Bryan Woo,O 5.5,4.0,4.0,LOSS,,
2026-06-26,Erick Fedde,O 3.5,2.0,4.0,LOSS,,
2026-06-26,Tanner Bibee,U 5.5,3.0,6.0,WIN,,
2026-06-26,Matthew Liberatore,O 3.5,3.0,5.0,LOSS,,
2026-06-26,Mitch Bratt,O 3.5,3.0,3.0,LOSS,,
2026-06-26,Eury Pérez,O 4.5,1.0,4.2,LOSS,,
2026-06-26,José Soriano,O 6.5,4.0,3.0,LOSS,,
2026-06-26,Martín Pérez,U 4.5,4.0,4.0,WIN,,
2026-06-26,JP Sears,O 3.5,5.0,5.2,WIN,,
2026-06-26,Joe Ryan,O 5.5,9.0,6.0,WIN,,
2026-06-26,Shohei Ohtani,O 6.5,8.0,6.0,WIN,,
2026-06-18,Rhett Lowder,U 4.5,5.0,5.1,LOSS,,
2026-06-18,Connor Prielipp,O 3.5,4.0,6.0,WIN,,
2026-06-18,Michael Soroka,O 5.5,0.0,1.0,LOSS,,
2026-06-18,Michael McGreevy,O 3.5,5.0,5.0,WIN,,
2026-06-18,Seth Lugo,U 6.5,5.0,6.0,WIN,,
2026-06-18,Randy Vásquez,O 3.5,6.0,3.1,WIN,,
2026-06-26,Miles Mikolas,U 3.5,1.0,3.1,WIN,,
2026-06-26,Aaron Nola,O 4.5,5.0,5.0,WIN,,
2026-06-18,Trey Gibson,U 3.5,8.0,5.0,LOSS,,
2026-06-18,Ben Brown,U 4.5,4.0,6.0,WIN,,
2026-06-26,Trey Gibson,U 4.5,5.0,4.0,LOSS,,
2026-06-18,Kevin Gausman,O 5.5,3.0,2.0,LOSS,,
2026-06-18,Griffin Jax,U 4.5,5.0,5.0,LOSS,,
2026-06-18,Kyle Freeland,U 4.5,8.0,7.1,LOSS,,
2026-06-18,Martín Pérez,O 3.5,5.0,6.0,WIN,,
2026-06-18,Bubba Chandler,U 4.5,1.0,6.0,WIN,,
2026-06-18,Jacob Misiorowski,O 8.5,7.0,6.0,LOSS,,
2026-06-18,Jacob deGrom,O 6.5,9.0,6.0,WIN,,
2026-06-18,Ranger Suarez,U 5.5,5.0,6.2,WIN,,
2026-06-18,Landen Roupp,O 5.5,7.0,6.0,WIN,,
2026-06-18,Roki Sasaki,U 5.5,6.0,5.2,LOSS,,
2026-06-18,Jeffrey Springs,O 4.5,4.0,3.2,LOSS,,
2026-06-18,Bryce Miller,O 4.5,7.0,5.0,WIN,,
2026-06-18,Tarik Skubal,O 6.5,8.0,5.2,WIN,,
2026-06-16,Kodai Senga,U 5.5,5.0,4.0,WIN,,
2026-06-16,Robert Gasser,U 4.5,5.0,5.2,LOSS,,
2026-06-18,José Soriano,O 3.5,6.0,5.0,WIN,,
2026-06-16,Slade Cecconi,U 4.5,4.0,5.2,WIN,,
2026-06-16,Edward Cabrera,U 5.5,3.0,4.1,WIN,,
2026-06-15,Ryan Gusto,U 3.5,1.0,3.1,WIN,,
2026-06-15,Walbert Ureña,U 4.5,3.0,7.0,WIN,,
2026-06-15,Tobias Myers,U 2.5,1.0,1.1,WIN,,
2026-06-16,Framber Valdez,O 4.5,6.0,6.0,WIN,,
2026-06-16,Hunter Brown,O 6.5,7.0,5.2,WIN,,
2026-06-16,Michael King,O 4.5,5.0,4.1,WIN,,
2026-06-16,Andre Pallante,O 3.5,6.0,7.0,WIN,,
2026-06-15,J.T. Ginn,U 4.5,3.0,6.0,WIN,,
2026-06-15,Zack Wheeler,O 6.5,9.0,6.0,WIN,,
2026-06-15,Shota Imanaga,U 6.5,3.0,5.2,WIN,,
2026-06-15,Ryne Nelson,U 4.5,5.0,7.0,LOSS,,
2026-06-15,Nick Martinez,O 3.5,6.0,5.1,WIN,,
2026-06-15,Eric Lauer,U 3.5,4.0,6.0,LOSS,,
2026-06-15,Andrew Alvarez,U 4.5,5.0,4.0,LOSS,,
2026-06-15,Jared Jones,NL,4.0,4.0,NL,,
2026-06-30,Aaron Nola,O,5.5,5.0,L,,
2026-06-30,Braxton Ashcraft,O,5.5,8.0,W,,
2026-06-30,Zebby Matthews,O,4.5,5.0,W,,
2026-06-30,Peter Lambert,O,4.5,4.0,L,,
2026-06-30,Sean Burke,O,5.5,8.0,W,,
2026-06-30,Shane Baz,U,5.5,7.0,L,,
2026-06-30,Sean Manaea,O,3.5,4.0,W,,
2026-06-30,Trey Yesavage,U,6.5,3.0,W,,
2026-06-30,George Kirby,O,6.5,7.0,W,,
2026-06-30,Ryan Johnson,U,4.5,3.0,W,,
2026-06-30,Shota Imanaga,O,4.5,4.0,L,,
2026-06-30,Casey Mize,O,5.5,8.0,W,,
2026-06-30,Ryan Weathers,O,6.5,3.0,L,,
2026-06-30,Parker Messick,O,5.5,5.0,L,,
2026-06-30,Tyler Alexander,O,0.5,2.0,W,,
2026-06-30,Sandy Alcantara,O,4.5,3.0,L,,
2026-06-30,Robert Gasser,O,5.5,5.0,L,,
2026-06-30,Nick Lodolo,O,4.5,4.0,L,,
2026-06-27,Jose Cabrera,U,3.5,4.0,L,,
2026-06-27,Cole Sulser,U,2.5,1.0,W,,
2026-06-27,Andre Pallante,O,4.5,4.0,L,,
2026-06-27,Ryan Gusto,U,3.5,4.0,L,,
2026-06-27,Alan Rangel,O,3.5,4.0,W,,
2026-06-27,Christian Scott,O,4.5,6.0,W,,
2026-06-27,Randy Vasquez,O,3.5,1.0,L,,
2026-06-27,Y. Yamamoto,U,6.5,4.0,W,,
2026-06-27,Kyle Harrison,O,5.5,9.0,W,,
2026-06-27,David Peterson,U,4.5,2.0,W,,
2026-06-27,Reid Detmers,O,6.5,8.0,W,,
2026-06-27,Jack Perkins,U,5.5,5.0,W,,
2026-06-27,Framber Valdez,O,4.5,2.0,L,,
2026-06-27,Kai-Wei Teng,U,4.5,1.0,W,,
2026-06-27,Michael Lorenzen,U,4.5,1.0,W,,
2026-06-27,Mike Paredes,U,3.5,2.0,W,,
2026-06-27,Brandon Young,U,4.5,8.0,L,,
2026-06-27,Foster Griffin,O,6.5,9.0,W,,
2026-06-27,Michael Wacha,O,4.5,7.0,W,,
2026-06-27,Davis Martin,O,5.5,3.0,L,,
2026-06-27,Chase Burns,O,6.5,10.0,W,,
2026-06-27,Jared Jones,O,5.5,4.0,L,,
2026-06-27,Dylan Cease,O,7.5,10.0,W,,
2026-06-27,Cal Quantrill,O,1.5,5.0,W,,
2026-06-27,Jake Bennett,O,4.5,3.0,L,,
2026-06-27,Gerrit Cole,U,5.5,5.0,L,,
2026-06-30,Miles Mikolas,O,2.5,3.0,W,,
2026-06-30,Ranger Suarez,U,5.5,8.0,L,,
2026-06-30,Tyler Mahle,U,4.5,3.0,W,,
2026-06-30,Eduardo Rodriguez,U,4.5,1.0,W,,
2026-06-30,Gage Jump,O,4.5,5.0,W,,
2026-06-30,Eric Lauer,U,4.5,2.0,W,,
2026-06-27,Logan Webb,O,0.5,6.0,W,,
2026-06-27,Bryce Elder,O,4.5,4.0,L,,
2026-06-27,Slade Cecconi,O,4.5,4.0,L,,
2026-06-27,Logan Gilbert,O,5.5,7.0,W,,
